Fri Apr 23 16:10:32 2021    output.dat

         899508 function calls (875517 primitive calls) in 1.082 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       11    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\np\arrayobj.py:37(set_range_metadata)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\cffi\commontypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pycparser\c_ast.py:849(Return)
       11    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cgutils.py:629(pack_array)
      117    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\lowering.py:265(debug_print)
       35    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\builder.py:211(module)
        1    0.000    0.000    0.080    0.080 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\cell\cell.py:3(<module>)
        5    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cgutils.py:667(get_item_pointer)
        1    0.000    0.000    0.004    0.004 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\drawing\fill.py:4(<module>)
       15    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\templates.py:266(_select)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\cpython\rangeobj.py:104(from_range_state)
        1    0.000    0.000    0.432    0.432 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\dispatcher.py:864(compile)
       14    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\callwrapper.py:38(cleanup_arg)
       55    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\fills.py:59(<listcomp>)
       80    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\np\npyimpl.py:446(_KernelImpl)
        1    0.000    0.000    0.016    0.016 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\chart\shapes.py:3(<module>)
      208    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\bytecode.py:237(__getitem__)
      202    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
       80    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\colorama\initialise.py:67(reinit)
       81    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\types.py:137(gep)
      102    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\types.py:352(__init__)
       73    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\llvmpy\core.py:110(int)
      156    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\lowering.py:1245(getvar)
       17    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:1158(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typeinfer.py:1103(unify)
       36    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numpy\core\numerictypes.py:360(issubdtype)
       60    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1351(preParse)
       67    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1575(get_dtype)
        9    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:445(insert_const_string)
       32    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\inspect.py:3091(signature)
        1    0.000    0.000    0.039    0.039 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\lowering.py:196(lower_function_body)
       11    0.000    0.000    0.002    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\transforms.py:240(canonicalize_cfg_single_backedge)
       87    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\indexes\base.py:600(__len__)
       66    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:20(__enter__)
        9    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\arraydecl.py:171(generic)
      246    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\datamodel\models.py:230(get_value_type)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:509(rewrite_semantic_constants)
       60    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:704(cast)
       80    0.000    0.000    0.000    0.000 {method 'decode' of 'bytearray' objects}
      270    0.000    0.000    0.000    0.000 {function _typedict.__getitem__ at 0x000002DD812123A0}
      163    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\controlflow.py:595(<listcomp>)
       77    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1642(construct_1d_ndarray_preserving_na)
       46    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\indexes\base.py:5953(maybe_extract_name)
       36    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\np\numpy_support.py:391(<listcomp>)
       78    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\inference.py:322(is_hashable)
      112    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:195(<lambda>)
       11    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cgutils.py:44(make_bytearray)
       59    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:190(with_lineno)
       80    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\colorama\initialise.py:51(deinit)
        2    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\io\parsers.py:824(_get_options_with_defaults)
        3    0.000    0.000    0.014    0.005 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:654(descr_body)
       20    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cgutils.py:662(<listcomp>)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\codegen.py:712(_verify_declare_only_symbols)
        7    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\untyped_passes.py:333(_do_work)
       36    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:762(__str__)
        9    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:295(descr)
       77    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:394(_insert_get_constant_defn)
        5    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cgutils.py:709(get_item_pointer2)
       20    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\interpreter.py:51(assign)
       34    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\itanium_mangler.py:86(_escape_string)
       54    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\types.py:170(__init__)
       36    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\datamodel\models.py:496(<listcomp>)
        1    0.000    0.000    0.008    0.008 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cpu.py:165(create_cfunc_wrapper)
        1    0.000    0.000    0.003    0.003 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\listdecl.py:1(<module>)
      185    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\functions.py:299(<dictcomp>)
        2    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\callconv.py:116(raise_error)
      176    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:141(<genexpr>)
       30    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\binding\ffi.py:253(__del__)
       58    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:591(<genexpr>)
      217    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:826(get_targets)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\reader\excel.py:170(read_properties)
       13    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
        7    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typeinfer.py:1702(typeof_call)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\drawing\geometry.py:3(<module>)
       24    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2707(parseImpl)
       34    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\itanium_mangler.py:116(_len_encoded)
       22    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:177(_validate_pass)
       39    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\cell\text.py:138(__init__)
       10    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\np\arrayobj.py:56(make_array)
       69    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\cell_style.py:52(__new__)
       24    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\binding\module.py:233(_next)
       23    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\compiler_lock.py:15(release)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\page.py:3(<module>)
        1    0.000    0.000    0.005    0.005 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\chart\series.py:4(<module>)
       80    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\np\npyimpl.py:424(_ufunc_db_function)
       10    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
      129    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\containers.py:243(key)
       17    0.000    0.000    0.010    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:1193(wrapper)
       40    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\context.py:398(_get_global_type)
        1    0.000    0.000    0.059    0.059 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\chart\area_chart.py:3(<module>)
      153    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:846(get_targets)
       56    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\functools.py:64(wraps)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\enum.py:129(__new__)
      270    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numpy\core\multiarray.py:468(can_cast)
        2    0.000    0.000    0.011    0.005 C:\Users\DALab\anaconda3\lib\site-packages\pandas\io\parsers.py:1055(read)
       12    0.000    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\types.py:48(get_abi_size)
       19    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       26    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\internals\managers.py:1545(__init__)
       34    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\_utils.py:76(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\config.py:80(update)
       29    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\utils\indexed_list.py:42(append)
        4    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:87(__init__)
       14    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\common.py:198(asarray_tuplesafe)
        3    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\_vendor\packaging\requirements.py:95(__init__)
        2    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\analysis.py:304(find_branches)
        2    0.000    0.000    0.054    0.027 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\callconv.py:547(call_function)
       44    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:236(fixup)
       34    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\_reader.py:281(<setcomp>)
       48    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\scipy\linalg\lapack.py:866(backtickrepl)
        3    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\logging\__init__.py:223(_releaseLock)
       12    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\lowering.py:1328(_lit_or_omitted)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\bytecode.py:196(__init__)
       40    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\re.py:203(sub)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ssa.py:86(_iterated_domfronts)
       60    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\context.py:266(core)
        1    0.000    0.000    0.033    0.033 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\cffi_utils.py:2(<module>)
       51    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:739(add_attribute)
       10    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\interpreter.py:438(_start_new_block)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\scipy\sparse\compressed.py:1(<module>)
       48    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\templates.py:50(recvr)
       43    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\pythonapi.py:1274(_get_function)
       17    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typed_passes.py:591(get_func_type)
      151    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typeinfer.py:120(getone)
        3    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\codegen.py:1172(_function_pass_manager)
       12    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\descriptors\nested.py:42(to_tree)
        6    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4268(postParse)
       40    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:1121(get_or_define)
        1    0.000    0.000    0.005    0.005 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\comments\comment_sheet.py:4(<module>)
        1    0.000    0.000    0.012    0.012 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\reader\workbook.py:3(<module>)
       36    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\cffi_utils.py:29(is_ffi_instance)
        1    0.000    0.000    0.018    0.018 C:\Users\DALab\anaconda3\lib\site-packages\pycparser\c_parser.py:9(<module>)
      256    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       66    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\compiler_machinery.py:403(get)
        1    0.000    0.000    0.004    0.004 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\dimensions.py:3(<module>)
        2    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\cffi\model.py:272(build_backend_type)
       40    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\byteflow.py:1294(get_top_block)
       24    0.000    0.000    0.001    0.000 {built-in method strptime}
       28    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\generic.py:5449(__getattr__)
        6    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\cast.py:1617(construct_1d_object_array_from_listlike)
       28    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\series.py:439(_set_axis)
        7    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:347(descr)
      160    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\colorama\ansitowin32.py:106(should_wrap)
        4    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\types\common.py:48(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\drawing\text.py:119(CharacterProperties)
        6    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1441(tryParse)
        1    0.000    0.000    0.005    0.005 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\named_styles.py:3(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\codegen.py:1003(scan_defined_symbols)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\Documents\代刚/程ㄎて穓碝簍衡猭家舱\SSO\SSO.py:15(step_wise_function)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\chart\axis.py:3(<module>)
        1    0.000    0.000    0.020    0.020 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\workbook\_writer.py:3(<module>)
        1    0.000    0.000    0.007    0.007 C:\Users\DALab\anaconda3\lib\site-packages\numba\np\npyfuncs.py:1(<module>)
      205    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        5    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\io\parsers.py:3139(_rows_to_cols)
       10    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:758(get_c_value)
       12    0.000    0.000    0.003    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:1097(get_abi_sizeof)
       23    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\compiler_lock.py:11(acquire)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1(<module>)
       29    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\utils\indexed_list.py:47(add)
       77    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\base.py:386(_insert_setattr_defn)
        4    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\codegen.py:1128(_create_empty_module)
        2    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\workbook\properties.py:100(__init__)
       69    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\instructions.py:99(args)
       15    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:196(short)
       22    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\zipfile.py:460(_decodeExtra)
       43    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typeinfer.py:43(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\scipy\linalg\decomp_svd.py:1(<module>)
       80    0.000    0.000    0.000    0.000 {method 'clear' of 'frame' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\extending.py:384(_intrinsic)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\utils\formulas.py:3(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\DALab\anaconda3\lib\site-packages\scipy\linalg\matfuncs.py:5(<module>)
       60    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\functools.py:738(is_related)
        2    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numpy\core\getlimits.py:399(_init)
       22    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\random.py:200(randrange)
       20    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cgutils.py:655(unpack_tuple)
        3    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\views.py:83(__init__)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typing\collections.py:1(<module>)
       19    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\common.py:1341(is_bool_dtype)
       18    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\sre_parse.py:295(_class_escape)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\chart\surface_chart.py:3(<module>)
        2    0.000    0.000    0.002    0.001 C:\Users\DALab\anaconda3\lib\site-packages\numba\cpython\randomimpl.py:218(random_impl)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\workbook\workbook.py:90(_setup_styles)
      136    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\ipykernel\iostream.py:323(_schedule_flush)
       22    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\random.py:250(_randbelow_with_getrandbits)
       73    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\indexes\range.py:747(__len__)
       78    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\datamodel\packer.py:137(<genexpr>)
        2    0.000    0.000    0.003    0.002 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\lowering.py:632(lower_getitem)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\pivot\table.py:672(PivotField)
       30    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\construction.py:612(is_empty_data)
       19    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\binding\module.py:52(__init__)
        3    0.000    0.000    0.002    0.001 C:\Users\DALab\anaconda3\lib\linecache.py:37(getlines)
       15    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\controlflow.py:205(_back_edges)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\worksheet\worksheet.py:59(Worksheet)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\cell_style.py:188(_to_array)
      119    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\runtime\context.py:15(_require_nrt)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\cgutils.py:261(__init__)
        1    0.000    0.000    0.022    0.022 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\typed_passes.py:61(type_inference_stage)
        1    0.000    0.000    0.003    0.003 C:\Users\DALab\anaconda3\lib\site-packages\scipy\linalg\basic.py:7(<module>)
       13    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\zipfile.py:1032(_read2)
        5    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\cffi\model.py:589(global_cache)
       14    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:21(_escape_string)
       17    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\llvmpy\core.py:173(add_global_variable)
       22    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:267(__init__)
        1    0.000    0.000    0.189    0.189 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\compiler.py:305(__init__)
       97    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\values.py:607(module)
        3    0.000    0.000    0.002    0.001 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\__init__.py:3092(__init__)
        1    0.000    0.000    0.023    0.023 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\styleable.py:3(<module>)
       97    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\sre_compile.py:453(_get_iscased)
       33    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pkg_resources\_vendor\pyparsing.py:411(__getitem__)
       16    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\llvmlite\ir\module.py:215(_get_metadata_lines)
       18    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\byteflow.py:298(op_LOAD_FAST)
       60    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\core\dtypes\missing.py:50(isna)
       33    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\ir.py:234(__eq__)
       50    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\numba\core\bytecode.py:96(__repr__)
        5    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\xml\etree\ElementTree.py:1240(IterParseIterator)
        1    0.000    0.000    0.001    0.001 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\styles\numbers.py:3(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\openpyxl\chart\bar_chart.py:3(<module>)
        1    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\scipy\sparse\data.py:1(<module>)
       32    0.000    0.000    0.001    0.000 C:\Users\DALab\anaconda3\lib\inspect.py:2839(from_callable)
       24    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\locale.py:575(getlocale)
        2    0.000    0.000    0.000    0.000 C:\Users\DALab\anaconda3\lib\site-packages\pandas\io\common.py:491(get_handle)
